signal,n,tau,max_err,alpha,mu,alpha_over_mu,K,PSNR_dB,max_abs_e
sin,1000,0.0,0.002,0.1,0.005,20.0,1000,52.87214821584924,0.10445505380630493
sin,1000,0.0,0.002,0.1,0.01,10.0,1000,52.855058427097354,0.1089545488357544
sin,1000,0.0,0.002,0.1,0.02,5.0,1000,52.8209817232777,0.11795365810394287
sin,1000,0.0,0.002,0.2,0.005,40.0,1000,45.29729480867861,0.20445501804351807
sin,1000,0.0,0.002,0.2,0.01,20.0,1000,45.290146342733976,0.2089545726776123
sin,1000,0.0,0.002,0.2,0.02,10.0,1000,45.27586704436417,0.21795368194580078
sin,1000,0.0,0.002,0.3,0.005,60.0,1000,41.31359389606804,0.304455041885376
sin,1000,0.0,0.002,0.3,0.01,30.0,1000,41.30907441840896,0.3089545965194702
sin,1000,0.0,0.002,0.3,0.02,15.0,1000,41.300042301729896,0.3179536461830139
sin,1000,0.0,0.005,0.1,0.005,20.0,1000,52.87214821584924,0.10445505380630493
sin,1000,0.0,0.005,0.1,0.01,10.0,1000,52.855058427097354,0.1089545488357544
sin,1000,0.0,0.005,0.1,0.02,5.0,1000,52.8209817232777,0.11795365810394287
sin,1000,0.0,0.005,0.2,0.005,40.0,1000,45.29729480867861,0.20445501804351807
sin,1000,0.0,0.005,0.2,0.01,20.0,1000,45.290146342733976,0.2089545726776123
sin,1000,0.0,0.005,0.2,0.02,10.0,1000,45.27586704436417,0.21795368194580078
sin,1000,0.0,0.005,0.3,0.005,60.0,1000,41.31359389606804,0.304455041885376
sin,1000,0.0,0.005,0.3,0.01,30.0,1000,41.30907441840896,0.3089545965194702
sin,1000,0.0,0.005,0.3,0.02,15.0,1000,41.300042301729896,0.3179536461830139
sin,1000,0.0,0.01,0.1,0.005,20.0,1000,52.87214821584924,0.10445505380630493
sin,1000,0.0,0.01,0.1,0.01,10.0,1000,52.855058427097354,0.1089545488357544
sin,1000,0.0,0.01,0.1,0.02,5.0,1000,52.8209817232777,0.11795365810394287
sin,1000,0.0,0.01,0.2,0.005,40.0,1000,45.29729480867861,0.20445501804351807
sin,1000,0.0,0.01,0.2,0.01,20.0,1000,45.290146342733976,0.2089545726776123
sin,1000,0.0,0.01,0.2,0.02,10.0,1000,45.27586704436417,0.21795368194580078
sin,1000,0.0,0.01,0.3,0.005,60.0,1000,41.31359389606804,0.304455041885376
sin,1000,0.0,0.01,0.3,0.01,30.0,1000,41.30907441840896,0.3089545965194702
sin,1000,0.0,0.01,0.3,0.02,15.0,1000,41.300042301729896,0.3179536461830139
sin,1000,0.01,0.002,0.1,0.005,20.0,132,24.860684486605624,0.10262821827616009
sin,1000,0.01,0.002,0.1,0.01,10.0,132,24.721397448441905,0.10834354162216187
sin,1000,0.01,0.002,0.1,0.02,5.0,132,24.518237204811093,0.1163281917572021
sin,1000,0.01,0.002,0.2,0.005,40.0,132,18.81993346118637,0.2043124914169312
sin,1000,0.01,0.002,0.2,0.01,20.0,132,18.746943529359545,0.20774495601654053
sin,1000,0.01,0.002,0.2,0.02,10.0,132,18.622762118005802,0.2160005688667297
sin,1000,0.01,0.002,0.3,0.005,60.0,132,15.15967027648053,0.3043474674224853
sin,1000,0.01,0.002,0.3,0.01,30.0,132,15.15733840650588,0.3070008277893066
sin,1000,0.01,0.002,0.3,0.02,15.0,132,15.112961926993835,0.3160005331039428
sin,1000,0.01,0.005,0.1,0.005,20.0,52,24.317632414014597,0.10336245298385616
sin,1000,0.01,0.005,0.1,0.01,10.0,52,24.517644554336435,0.10625425832612179
sin,1000,0.01,0.005,0.1,0.02,5.0,52,23.717507292080438,0.11639350652694702
sin,1000,0.01,0.005,0.2,0.005,40.0,52,18.542138321908666,0.20000821352005005
sin,1000,0.01,0.005,0.2,0.01,20.0,52,18.671232528572382,0.20878897607326508
sin,1000,0.01,0.005,0.2,0.02,10.0,52,18.400744494980056,0.21328501403331757
sin,1000,0.01,0.005,0.3,0.005,60.0,52,15.079674925683067,0.29978780448436737
sin,1000,0.01,0.005,0.3,0.01,30.0,52,15.10794147689692,0.30884112417697906
sin,1000,0.01,0.005,0.3,0.02,15.0,52,15.03933902979119,0.3132850378751755
sin,1000,0.01,0.01,0.1,0.005,20.0,22,21.14054837605154,0.10421005798422778
sin,1000,0.01,0.01,0.1,0.01,10.0,22,20.89706970383242,0.10724665030189184
sin,1000,0.01,0.01,0.1,0.02,5.0,22,20.601852545205954,0.11619782447814941
sin,1000,0.01,0.01,0.2,0.005,40.0,22,17.723992174971254,0.19896254096275723
sin,1000,0.01,0.01,0.2,0.01,20.0,22,17.270766775587173,0.20625308803890063
sin,1000,0.01,0.01,0.2,0.02,10.0,22,17.247559271796447,0.21560262597125512
sin,1000,0.01,0.01,0.3,0.005,60.0,22,14.897255571669696,0.30233111036451243
sin,1000,0.01,0.01,0.3,0.01,30.0,22,14.717933225157742,0.30624874745096475
sin,1000,0.01,0.01,0.3,0.02,15.0,22,14.422696230900742,0.3114333360091499
sin,1000,0.05,0.002,0.1,0.005,20.0,132,24.860684486605624,0.10262821827616009
sin,1000,0.05,0.002,0.1,0.01,10.0,132,24.721397448441905,0.10834354162216187
sin,1000,0.05,0.002,0.1,0.02,5.0,132,24.518237204811093,0.1163281917572021
sin,1000,0.05,0.002,0.2,0.005,40.0,132,18.81993346118637,0.2043124914169312
