bits,block,zs_eps,snr_db,nnz,size_bytes,note
4,0,0.0,39.33678469529888,65536,65540,quant_only
4,N/A,0.001,39.33678469529888,65326,587938,zs_then_quant
4,8,0.0,16.842337249662553,65536,65792,quant_only
4,N/A,0.001,39.33678469529888,65326,587938,zs_then_quant
4,16,0.0,17.9151544760471,65536,66560,quant_only
4,N/A,0.001,39.33678469529888,65326,587938,zs_then_quant
4,32,0.0,19.294623218680385,65536,69632,quant_only
4,N/A,0.001,39.33678469529888,65326,587938,zs_then_quant
6,0,0.0,39.33678469529888,65536,65540,quant_only
6,N/A,0.001,39.33678469529888,65326,587938,zs_then_quant
6,8,0.0,29.749174858641354,65536,65792,quant_only
6,N/A,0.001,39.33678469529888,65326,587938,zs_then_quant
6,16,0.0,30.88378228254687,65536,66560,quant_only
6,N/A,0.001,39.33678469529888,65326,587938,zs_then_quant
6,32,0.0,32.242582632192864,65536,69632,quant_only
6,N/A,0.001,39.33678469529888,65326,587938,zs_then_quant
8,0,0.0,39.33678469529888,65536,65540,quant_only
8,N/A,0.001,39.33678469529888,65326,587938,zs_then_quant
8,8,0.0,42.03544231933733,65536,65792,quant_only
8,N/A,0.001,39.33678469529888,65326,587938,zs_then_quant
8,16,0.0,43.09333353502859,65536,66560,quant_only
8,N/A,0.001,39.33678469529888,65326,587938,zs_then_quant
8,32,0.0,44.489209008090484,65536,69632,quant_only
8,N/A,0.001,39.33678469529888,65326,587938,zs_then_quant
